,Average Return,Volatility
M&M,0.3160491027385177,150.82936512366823
EICHERMOT,0.30363117381566856,386.1306747538734
INDUSINDBK,0.2020664134100895,129.10218652191097
COALINDIA,0.19676545913105015,19.332117584910467
ITC,0.18826097391508478,27.492818759329378
HINDUNILVR,0.17080986808028553,198.42726621861848
MARUTI,0.148440889483721,588.9039674094398
HEROMOTOCO,0.13493816092290778,166.87077893981532
ICICIBANK,0.1324703225155157,74.69248307488888
BRITANNIA,0.11267909249830779,197.8931401003085
TITAN,0.10535680348735856,227.73039302964207
CIPLA,0.09998762515948806,54.48782669477753
LT,0.087813022982203,146.4665759147555
ASIANPAINT,0.08446585029180137,272.2074178311716
SBILIFE,0.08114045313130183,90.58609714257159
NTPC,0.0690626998348808,8.741813151532613
BHARTIARTL,0.06862905673150242,41.67653335106622
NESTLEIND,0.049897892171495054,1062.9677264831544
KOTAKBANK,0.03351374317761946,78.71725959837326
SBIN,0.03218247606134955,36.10477316051788
BAJFINANCE,0.027599629009663063,750.5042052680318
SUNPHARMA,0.027588097910289565,35.930901925143345
DRREDDY,0.02595075309673511,148.68258875202147
ADANIPORTS,0.0031951889072912017,78.29527234442449
HDFC,-0.005270924117336817,111.23080396959183
BAJAJ-AUTO,-0.00919751305415569,165.3044759047142
HDFCBANK,-0.009772658410797849,65.3015676662469
TATAMOTORS,-0.012539332715036286,25.07483615903011
GRASIM,-0.019117486458069727,154.59491016625125
RELIANCE,-0.023312001756514617,117.58212045468409
TATACONSUM,-0.023718606259957493,36.26700083908592
AXISBANK,-0.025955891026512024,53.82301742646734
APOLLOHOSP,-0.04174351085000361,343.8786525206752
HDFCLIFE,-0.04184970674264765,22.350159264443853
ULTRACEMCO,-0.05343280855088598,447.2776734024528
POWERGRID,-0.06271530423752752,9.778583270154725
JSWSTEEL,-0.08743842462004872,59.79755529405868
HCLTECH,-0.12140617993499293,59.57826850017831
UPL,-0.12258188163560954,54.80406806098483
SHREECEM,-0.12815775666367046,2044.3267550511691
TCS,-0.13504303511244356,167.29201987722115
INFY,-0.1365299563568077,69.77941024405598
DIVISLAB,-0.13831185282754566,316.76242828629347
BPCL,-0.1600320095133531,20.314345588967146
ONGC,-0.1825410052110004,14.932019854733275
HINDALCO,-0.19934245630678296,49.83385174371257
TECHM,-0.24629820675245254,96.7945140921392
WIPRO,-0.24753338384159318,39.95802850074897
BAJAJFINSV,-0.7093853560175537,4683.184428943622
TATASTEEL,-0.9513606567561064,477.03872036622994
