Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"NIFTY 50","16,870.55","17,037.60","16,820.40","16,858.60","-148.80","-0.87","3,239.24","21,400.76","18,604.45","15,183.40","-5.58","-2.62"
"ASIANPAINT","3,451.00","3,582.90","3,420.00","3,568.00","97.35","2.80","18.43","650.24","3,590.00","2,560.00","4.00","6.72"
"SUNPHARMA","894.00","926.00","892.05","916.00","18.85","2.10","55.59","509.63","967.05","733.70","20.04","4.18"
"DRREDDY","4,178.15","4,297.00","4,178.15","4,256.00","74.40","1.78","6.27","266.45","5,077.00","3,654.00","-11.18","1.09"
"EICHERMOT","3,529.00","3,665.70","3,529.00","3,632.00","61.45","1.72","6.71","242.69","3,787.25","2,159.55","26.14","10.34"
"POWERGRID","205.20","210.40","202.55","207.30","2.45","1.20","396.58","820.33","248.35","175.10","17.78","-8.70"
"NESTLEIND","18,655.00","18,979.00","18,525.70","18,870.00","197.35","1.06","1.06","198.51","20,200.00","16,000.00","-3.93","-3.95"
"HINDUNILVR","2,669.95","2,708.75","2,652.05","2,700.00","20.75","0.77","15.26","410.94","2,765.00","1,901.55","-0.35","4.82"
"M&M","1,233.10","1,261.75","1,211.25","1,244.00","8.25","0.67","33.61","419.38","1,338.00","671.15","53.32","-2.57"
"BRITANNIA","3,817.90","3,868.00","3,795.60","3,847.00","22.85","0.60","3.65","140.49","4,068.95","3,050.00","-4.06","3.76"
"TECHM","1,016.00","1,036.40","1,008.55","1,028.20","5.70","0.56","19.66","201.94","1,838.00","943.70","-29.79","-0.71"
"DIVISLAB","3,650.00","3,725.00","3,644.75","3,699.55","19.35","0.53","4.55","168.18","5,425.10","3,365.55","-25.00","3.27"
"APOLLOHOSP","4,229.00","4,295.00","4,183.10","4,265.60","22.65","0.53","3.96","168.69","5,935.40","3,361.55","-6.57","0.33"
"TCS","2,980.00","3,049.95","2,980.00","3,028.35","10.90","0.36","27.40","829.80","4,043.00","2,926.10","-21.07","-3.33"
"HCLTECH","913.00","926.95","911.85","919.70","0.95","0.10","41.54","382.24","1,367.95","877.35","-28.99","0.24"
"INFY","1,379.00","1,405.85","1,377.00","1,394.45","0.90","0.06","70.22","980.83","1,953.90","1,355.00","-18.98","-4.60"
"BAJAJ-AUTO","3,525.00","3,573.90","3,505.00","3,540.55","-1.35","-0.04","1.81","64.24","4,131.75","3,027.05","-9.53","-12.15"
"BHARTIARTL","755.50","771.00","755.00","759.50","-1.10","-0.14","55.47","424.16","797.00","628.75","5.11","5.40"
"WIPRO","396.00","400.50","395.35","397.80","-0.60","-0.15","44.61","177.83","739.85","384.60","-39.17","-1.62"
"TATAMOTORS","394.90","406.60","392.85","397.50","-1.30","-0.33","181.15","727.19","536.70","323.15","19.86","-12.32"
"CIPLA","1,101.00","1,117.70","1,087.65","1,094.00","-4.70","-0.43","34.51","379.75","1,117.70","850.00","13.64","7.54"
"ICICIBANK","844.00","863.25","844.00","848.90","-3.65","-0.43","114.11","975.07","936.65","642.15","16.29","-0.81"
"ULTRACEMCO","6,150.00","6,277.65","6,112.05","6,165.30","-27.55","-0.44","3.79","235.09","8,269.00","5,157.05","-19.12","-5.24"
"LT","1,829.70","1,856.00","1,825.60","1,831.05","-10.15","-0.55","18.54","340.70","2,078.55","1,456.35","5.26","-2.68"
"TATACONSUM","795.95","804.20","790.05","792.75","-5.10","-0.64","14.15","112.90","863.00","650.20","-5.07","-1.66"
"SBILIFE","1,227.50","1,250.85","1,215.00","1,232.25","-10.05","-0.81","11.03","136.19","1,340.35","1,003.50","0.77","-5.08"
"MARUTI","8,720.00","8,850.00","8,660.05","8,702.00","-72.05","-0.82","6.64","581.78","9,451.00","6,536.55","17.54","-1.50"
"KOTAKBANK","1,790.00","1,808.00","1,775.10","1,783.60","-15.70","-0.87","17.71","317.78","2,253.00","1,631.00","-12.28","-3.59"
"BAJFINANCE","7,179.00","7,297.50","7,160.10","7,165.35","-77.50","-1.07","8.69","628.64","8,050.00","5,220.00","-8.08","2.89"
"TITAN","2,587.50","2,634.50","2,564.50","2,571.95","-28.40","-1.09","14.20","367.88","2,768.00","1,825.05","23.05","1.59"
"GRASIM","1,665.00","1,687.75","1,654.30","1,664.00","-18.50","-1.10","5.48","91.76","1,929.80","1,276.60","0.92","-0.00"
"NTPC","157.80","159.45","155.00","157.05","-1.95","-1.23","142.62","224.82","176.15","119.10","23.81","-2.42"
"HDFCLIFE","518.35","520.25","510.00","514.20","-6.65","-1.28","35.65","183.58","741.70","497.05","-28.68","-8.33"
